word,language
bwino,Chichewa
aai,Frisian
path,Indonesian
فتاة,Arabic
"mare,",Latin
rull,Estonian
گہری,Urdu
sprendimas,Lithuanian
meno,Italian
opakovanie,Slovak
qab,Hmong
abbord,Maltese
ibizo,Zulu
آواز,Urdu
λιμάνι,Greek
vaovao,Malagasy
వసంత,Telugu
forti,Corsican
Wannear,Frisian
adoh,Javanese
مک,Sindhi
their,English
ນາທີ,Lao
ukwezi,Kinyarwanda
μετά,Greek
propi,Catalan
ko,Shona
ka,Somali
wakati,Swahili
nilai,Sundanese
λίρα,Greek
dimensione,Italian
څه,Pashto
lokkich,Frisian
Վերեւ,Armenian
ગરમ,Gujarati
kas,Lithuanian
месец,Serbian
मृत्यु,Nepali
তাত্ক্ষণিক,Bengali
mundo,Spanish
назад,Macedonian
amadoda,Xhosa
maydon,Uzbek
ہی,Urdu
kêf,Kurdish
터치,Korean
a,Corsican
kure,Shona
çîp,Kurdish
saeculi,Latin
લખવા,Gujarati
efter,Frisian
хавар,Mongolian
ukuphulaphula,Xhosa
കഥ,Malayalam
Lebensmittel,German
it,Frisian
vellíðan,Icelandic
teerera,Shona
afară,Romanian
سیل,Urdu
ranomasina,Malagasy
ល្បឿន,Khmer
eke,Igbo
sand,Norwegian
ibicuruzwa,Kinyarwanda
colis,Lithuanian
մահվան,Armenian
corda,Portuguese
facite,Latin
घर,Marathi
ukujoyina,Zulu
širok,Bosnian
कीट,Hindi
a,Scots
ninde,Kinyarwanda
divisió,Catalan
పార్టీ,Telugu
experimento,Spanish
ຄໍາຖາມ,Lao
biztos,Hungarian
اس,Urdu
nuage,French
դանդաղ,Armenian
мора,Macedonian
ngwa-ngwa,Igbo
ixabiso,Xhosa
кыштак,Kyrgyz
пӯшидан,Tajik
ngokusebenzisa,Xhosa
आगो,Nepali
инсон,Tajik
هر,Pashto
päerd,Luxembourgish
klar,Swedish
út,Frisian
இதுவரை,Tamil
jinkludu,Maltese
subtrahere,Norwegian
isel,Welsh
campament,Catalan
ze,Hmong
wazo,Swahili
нарийн,Mongolian
lengkap,Indonesian
קווארט,Yiddish
खाईन,Marathi
bimwe,Kinyarwanda
kaaway,Filipino
боюнча,Kyrgyz
злато,Macedonian
recta,Catalan
discutir,Spanish
za,Bosnian
poʻohiwi,Hawaiian
saense,Sesotho
sólo,Spanish
‘ਤੇ,Punjabi
južno,Slovenian
محطة,Arabic
жаш,Kyrgyz
otroška,Slovenian
log,Hmong
பெட்டியில்,Tamil
kotahi,Maori
дари,Tajik
ifidi,Xhosa
txalupa,Basque
nasmešek,Slovenian
офіс,Belarusian
هي,Arabic
permainan,Javanese
lima,Samoan
bädd,Swedish
алат,Serbian
fenêtre,French
ghiaccio,Italian
ट्रक,Marathi
папір,Ukrainian
శబ్దం,Telugu
problema,Lithuanian
રમત,Gujarati
цомпани,Serbian
kiyish,Uzbek
lift,Bosnian
katelu,Javanese
Quart,German
rahmat,Uzbek
каже,Bulgarian
พอ,Thai
klokke,Danish
isiseko,Xhosa
gille,Scots
mosali,Sesotho
jsou,Czech
mea,Hawaiian
предмет,Macedonian
समावेश,Nepali
domin,Hausa
стоял,Russian
پورې,Pashto
nostrum,Latin
begyndelse,Danish
taea,Maori
distante,Spanish
oeste,Corsican
manaʻo,Hawaiian
dumaya,Somali
ദൈർഘ്യം,Malayalam
tankou,Haitian
קילו,Hebrew
كلمة,Arabic
west,Bulgarian
लगाउँछन्,Nepali
تقرر,Arabic
दशमलव,Hindi
μήνα,Greek
kopja,Maltese
цорын,Mongolian
pulkstenis,Latvian
reaalne,Estonian
من,Arabic
Tsala,Xhosa
bho,Scots
obavijest,Croatian
maihao,Maori
meje,Yoruba
tseeb,Hmong
görmek,Turkish
game,Maori
પ્રકાશ,Gujarati
ضعف,Arabic
შედით,Georgian
màquina,Catalan
ಮುಂದುವರೆಯಲು,Kannada
કરો,Gujarati
m,Hausa
tecken,Swedish
žice,Bosnian
sudhut,Javanese
درجه,Persian
sanjati,Croatian
ប្រាំមួយ,Khmer
chaîne,French
nosi,Slovenian
កំណត់ត្រា,Khmer
gold,English
нөхцөл,Mongolian
شروع,Urdu
тини,Serbian
បានយាងចាកចេញទៅ,Khmer
montem,Latin
கண்டுபிடிக்க,Tamil
túmọ,Yoruba
gogoratu,Basque
بیست,Persian
wzrosła,Polish
gudbaan,Somali
Schlaf,German
a,Hausa
buruk,Indonesian
街,Japanese
ho,Sesotho
siguran,Bosnian
ที่,Thai
driegħ,Maltese
sisi,Sundanese
leku,Basque
에너지,Korean
إضافة,Arabic
sicuro,Italian
көз,Kazakh
на,Bulgarian
дваццаць,Belarusian
isi,Samoan
мелодијата,Macedonian
Уважаеми,Cebuano
پہلے,Urdu
beachd,Scots
kvankam,Esperanto
нумар,Belarusian
insekt,Luxembourgish
кыска,Kyrgyz
گرم,Sindhi
prowadzić,Polish
còmhla,Scots
чет,Kyrgyz
ikekwe,Igbo
кичине,Kyrgyz
feest,Frisian
đến,Vietnamese
maka,Maori
koko,Finnish
எண்ணினர்,Tamil
кармоо,Kyrgyz
கம்பி,Tamil
боз,Kyrgyz
frè,Haitian
masa,Filipino
ကလေး,Myanmar
Reis,Afrikaans
sebele,Sesotho
vencer,Galician
έθνος,Greek
किताब,Hindi
топло,Cebuano
نوجوان,Urdu
bros,Icelandic
dúirt,Irish
كل,Arabic
mamaha,Malagasy
izgubljen,Croatian
ഓരോ,Malayalam
mwana,Shona
صفحو,Sindhi
gba,Yoruba
واستوي,Pashto
cia,Hmong
no,Spanish
बगैंचामा,Nepali
lesk,Slovak
mögött,Hungarian
বল,Bengali
thonë,Albanian
jero,Sundanese
sestra,Croatian
คิดค้น,Thai
creu,Welsh
srdce,Czech
plus,French
lämpö,Finnish
уншсан,Mongolian
центр,Russian
kōpaʻa,Hawaiian
ортосунда,Kyrgyz
мляко,Bulgarian
կվարտա,Armenian
cloud,English
פאָרשטעלן,Yiddish
менің,Kazakh
(جبل),Sindhi
itim,Filipino
klass,Swedish
legea,Basque
stūris,Latvian
sever,Slovenian
песна,Macedonian
u,Bosnian
kayu,Javanese
капка,Macedonian
палка,Russian
obr,Czech
silts,Latvian
poort,Dutch
grup,Catalan
orta,Turkish
ಸಾಗಿಸುವ,Kannada
πληρωμή,Greek
pistol,Swedish
Triangle,Shona
nivå,Norwegian
слово,Ukrainian
lille,Danish
খাদ্য,Bengali
pagsakay,Filipino
vallei,Afrikaans
shahara,Hausa
tillstånd,Swedish
रहन,Nepali
xa,Galician
wereld,Dutch
linn,Luxembourgish
pəncərə,Azerbaijani
ຕົວເມືອງ,Lao
mkazi,Chichewa
候,Chinese
húð,Icelandic
lay,Portuguese
stôk,Frisian
повърхност,Bulgarian
qayiq,Uzbek
burung,Indonesian
alus,Sundanese
szakaszon,Hungarian
skientme,Frisian
چربی,Persian
mchere,Chichewa
အလွန်သေးငယ်သော,Myanmar
leyfa,Icelandic
wait,Luxembourgish
bezmaksas,Latvian
toets,Dutch
pangngalan,Filipino
pilns,Latvian
town,Zulu
kokoro,Yoruba
morto,Italian
sal,Catalan
почивка,Bulgarian
հարյուր,Armenian
grande,Portuguese
શિકાર,Gujarati
vroeg,Dutch
стояв,Ukrainian
brysur,Welsh
хурдан,Mongolian
לינקס,Yiddish
l,Corsican
cutie,Romanian
кажу,Serbian
ცალი,Georgian
huvud,Swedish
Црна,Serbian
ontmoet,Afrikaans
ho,Sesotho
westen,Luxembourgish
cotan,Scots
момче,Bulgarian
dubh,Scots
horas,Galician
τύπου,Greek
justo,Spanish
plan,English
rok,Slovenian
отвір,Ukrainian
കടലാസ്,Malayalam
brun,Danish
ಭಂಗಿ,Kannada
চার,Bengali
кароо,Kyrgyz
beuheung,Sundanese
korak,Bosnian
mbangun,Javanese
cultură,Romanian
aiki,Hausa
lub,Hmong
pinunjul,Sundanese
صحيح,Pashto
dán,Irish
prikuplja,Bosnian
slečna,Slovak
ci,Welsh
hafahafa,Malagasy
ഫലം,Malayalam
ဆက်,Myanmar
бос,Kazakh
个,Chinese
ciecz,Polish
спазвайте,Bulgarian
қосылу,Kazakh
guardar,Spanish
fenti,Hausa
accordo,Italian
پدن,Sindhi
death,English
jikkunsidraw,Maltese
kufutshane,Xhosa
kære,Danish
αυτό,Greek
przeszłość,Polish
бит,Serbian
பண்ணை,Tamil
یو,Pashto
pakona,Shona
rigardi,Esperanto
troid,Irish
ทำ,Thai
béit,Luxembourgish
zināja,Latvian
ڇا,Sindhi
സുരക്ഷിതമായ,Malayalam
şirket,Turkish
zoo,Hmong
kurangiza,Kinyarwanda
isuntswana,Xhosa
sabbia,Corsican
tüp,Turkish
פּאָזע,Yiddish
ত্বরা,Bengali
margine,Romanian
stead,Hmong
ขึ้น,Thai
контроль,Russian
nemokake,Javanese
tshwm,Hmong
sezon,Turkish
स्टील,Nepali
saya,Malaysian
kienu,Maltese
dikirani,Chichewa
himmelsblå,Swedish
терезе,Kazakh
markedet,Norwegian
Organ,Turkish
beag,Scots
masse,Danish
gjak,Albanian
үр,Mongolian
ຝ້າຍ,Lao
mais,Filipino
다른,Korean
सादे,Hindi
코,Korean
sukari,Swahili
menos,Galician
തോളിൽ,Malayalam
cearcall,Scots
բարի,Armenian
գտնել,Armenian
cá,Vietnamese
fedél,Hungarian
ifanc,Welsh
sosoo,Samoan
sonno,Italian
සම්පූර්ණ,Sinhala
éstos,Spanish
còmhdach,Scots
karşılaştırma,Turkish
mangatsiaka,Malagasy
лік,Belarusian
ring,Danish
luftë,Albanian
manehna,Sundanese
באַלד,Yiddish
evento,Portuguese
tavoittaa,Finnish
modern,Javanese
sted,Danish
nord,Italian
begûn,Frisian
penyebaran,Malaysian
mfuu,Chichewa
нугас,Mongolian
motorra,Basque
bojë,Albanian
මතක,Sinhala
ਵਿੱਚ,Punjabi
laban,Hausa
belleza,Spanish
时,Chinese
тынч,Kyrgyz
자주,Korean
penya,Shona
a,Romanian
amar,Spanish
kapatid,Filipino
farma,Czech
پسر,Persian
jezik,Slovenian
добити,Serbian
رفع,Arabic
fiecare,Romanian
lei,Italian
xemx,Maltese
എണ്ണ,Malayalam
patinig,Filipino
zulo,Basque
stream,English
ໄຫມ້,Lao
fine,English
tenere,Italian
qora,Uzbek
پاسخ,Persian
inshinga,Kinyarwanda
Schüler,German
sua,Basque
na,Czech
ऐका,Marathi
Presse,German
Начало,Bulgarian
kuba,Xhosa
porazit,Czech
soľ,Slovak
palagay,Filipino
geführt,German
բաժնետոմս,Armenian
ඔහුගේ,Sinhala
saya,Malaysian
көнүгүү,Kyrgyz
ដូចគ្នា,Khmer
odstavek,Slovenian
မြက်,Myanmar
Stück,German
dushman,Uzbek
sruth,Irish
pričakujejo,Slovenian
победи,Bulgarian
spille,Norwegian
fa,Malagasy
সঠিক,Bengali
завь,Mongolian
loosse,Luxembourgish
también,Spanish
ngwaahịa,Igbo
iye,Yoruba
cyrraedd,Welsh
ដែល,Khmer
pisklę,Polish
දඩ,Sinhala
kugera,Kinyarwanda
ia,Maori
hewa,Kurdish
အဘယ်သူသည်,Myanmar
probleem,Frisian
hiki,Hawaiian
port,Swedish
nos,Spanish
között,Hungarian
cos,Irish
palūkanos,Lithuanian
слични,Macedonian
استمع,Arabic
eżempju,Maltese
ಪತ್ತೆ,Kannada
vsak,Slovenian
пісня,Ukrainian
likati,Zulu
Fizarana,Malagasy
船,Japanese
bland,Norwegian
衣服を着せる,Japanese
darab,Hungarian
virke,Finnish
su,Spanish
деңгей,Kazakh
hai,Vietnamese
onuogugu,Igbo
बोर्ड,Hindi
تصمیم,Persian
капитал,Serbian
علف,Arabic
anellu,Corsican
փողոց,Armenian
kiire,Finnish
مڪمل,Sindhi
slitage,Swedish
sreath,Scots
चर्को,Nepali
flyga,Swedish
un,Galician
tahu,Malaysian
birêvebir,Kurdish
vară,Romanian
mucheto,Shona
mais,Italian
qum,Azerbaijani
Stein,German
vožnje,Slovenian
yüksek,Turkish
сила,Bulgarian
સરળ,Gujarati
ตอนนี้,Thai
gwres,Welsh
صنعت,Urdu
whakapaipai,Maori
ບິນ,Lao
विभाग,Marathi
winsk,Frisian
Card,Corsican
luhur,Sundanese
koude,Dutch
গণনা,Bengali
писарбача,Tajik
determinar,Portuguese
oor,Afrikaans
dziko,Chichewa
ibig,Filipino
minyak,Malaysian
חצר,Hebrew
nganti,Javanese
ಶಾಲೆಯ,Kannada
tirare,Italian
ia,Maori
nenamo,Shona
wuta,Hausa
שאַפֿן,Yiddish
הונדערט,Yiddish
ujumla,Swahili
կապիտան,Armenian
რთული,Georgian
jari,Malaysian
gost,Maltese
កម្លាំង,Khmer
adalah,Indonesian
clywed,Welsh
بهار,Sindhi
கீழே,Tamil
Трудно,Bulgarian
таю,Kazakh
zi,Romanian
أنبوب,Arabic
emide,Xhosa
amaoneka,Chichewa
સ્ટોર,Gujarati
seans,Irish
momentinis,Lithuanian
klíč,Czech
tipo,Esperanto
πήγε,Greek
yang,Malaysian
עלה,Hebrew
ôl-ddodiad,Welsh
nothing,Basque
ເຄື່ອງນຸ່ງຫົ່ມ,Lao
kude,Xhosa
puissance,French
per,Esperanto
borð,Icelandic
yem,Uzbek
umusaruro,Kinyarwanda
Chivabvu,Shona
χτύπημα,Greek
साठी,Marathi
өрөөн,Kyrgyz
mõttes,Estonian
বিপদ,Bengali
астатнія,Belarusian
a,Romanian
kertas,Javanese
ಧ್ವನಿ,Kannada
karya,Hausa
ជញ្ជាំង,Khmer
tapatoru,Maori
skena,Swedish
сегиз,Kyrgyz
nasu,Corsican
पर्याप्त,Hindi
pasi,Esperanto
vokatra,Malagasy
доста,Bulgarian
mulole,Chichewa
isisa,Xhosa
работа,Macedonian
ho,Malagasy
เดียวกัน,Thai
lodi,Yoruba
erwaart,Luxembourgish
hest,Danish
قبل,Persian
seachd,Scots
לשון,Hebrew
kiel,Esperanto
dấu,Vietnamese
कम,Hindi
λέξη,Greek
fupa,Chichewa
сағат,Kazakh
broer,Frisian
ໃຫ້ກວດເບິ່ງ,Lao
sàibh,Scots
погоджуватися,Ukrainian
சாளர,Tamil
aprender,Spanish
un,Catalan
orientar,Portuguese
predné,Slovak
ngjit,Albanian
hlið,Icelandic
quart,Sundanese
ξηρό,Greek
चंद्र,Marathi
sedem,Slovak
キャラクター,Japanese
daha,Turkish
kuwa,Somali
fabula,Latin
सवारी,Nepali
yn,Welsh
البخار,Arabic
bloc,French
часть,Russian
fund,Albanian
ferm,Maltese
millioner,Norwegian
drop,Filipino
oh,Czech
برگزار,Persian
وګورئ,Pashto
торгівля,Ukrainian
ställning,Swedish
mile,Somali
jeden,Czech
ປະສົບການ,Lao
voce,Italian
cua,Hmong
lihêv,Kurdish
tsy,Malagasy
trikotnik,Slovenian
тэр,Mongolian
chikafu,Shona
отворен,Cebuano
дизајн,Macedonian
pran,Haitian
meureun,Sundanese
ideja,Croatian
matches,Scots
გაიგზავნა,Georgian
아름다움,Korean
alîkarî,Kurdish
ცხიმის,Georgian
bayazibuza,Zulu
bildu,Basque
早,Chinese
persones,Catalan
Дивисион,Serbian
читати,Ukrainian
sapat,Filipino
பாட,Tamil
тау,Kazakh
egész,Hungarian
опит,Bulgarian
پیشنهاد,Persian
simbi,Shona
faʻatele,Samoan
meistras,Lithuanian
uostas,Lithuanian
عقد,Arabic
tingkat,Indonesian
aman,Indonesian
nokto,Esperanto
küldött,Hungarian
coj,Hmong
gamitin,Filipino
banjur,Javanese
ਜਲਦੀ,Punjabi
cociente,Galician
omsorg,Norwegian
temps,Catalan
кішкентай,Kazakh
înregistrare,Romanian
પ્રતીક,Gujarati
девет,Macedonian
Falte,German
кроме,Russian
anagona,Chichewa
hana,Hawaiian
materia,Spanish
við,Icelandic
line,Azerbaijani
спица,Kazakh
пур,Tajik
үлес,Kazakh
paj,Haitian
σχεδιασμός,Greek
ticaret,Turkish
cichy,Polish
ਮਹਿਲਾ,Punjabi
ہو,Urdu
страх,Russian
timore,Latin
ทราย,Thai
hud,Norwegian
sjekk,Norwegian
umwanya,Kinyarwanda
დაამტკიცოს,Georgian
oss,Swedish
સરખામણી,Gujarati
тез,Kazakh
ցուրտ,Armenian
método,Galician
яркий,Russian
sude,Esperanto
чорний,Ukrainian
fehma,Maltese
tsika,Shona
chikwata,Shona
bebek,Indonesian
pob,Welsh
булут,Kyrgyz
misit,Latin
wood,Filipino
drink,Afrikaans
ganske,Norwegian
-val,Hungarian
वर्ग,Nepali
krysse,Norwegian
dragi,Slovenian
wrote,English
ನಂಬಿಕೆ,Kannada
nuqtasi,Uzbek
eikä,Finnish
polū,Hawaiian
cidade,Galician
sena,Maltese
वर्तुळखंड,Marathi
cover,Basque
ಎಣಿಕೆ,Kannada
පෙරමුණ,Sinhala
pertama,Indonesian
സൃഷ്ടിക്കുക,Malayalam
гутал,Mongolian
pimeä,Finnish
pouaka,Maori
اجازه,Pashto
umkakho,Zulu
pas,Javanese
kalns,Latvian
લિફ્ટ,Gujarati
ကပြောပါတယ်,Myanmar
மரம்,Tamil
toddobaadka,Somali
သေသော,Myanmar
bapa,Sundanese
तट,Hindi
خواهد,Persian
ike,Igbo
suku,Sundanese
pneumático,Galician
search,Javanese
ਸੋਚਿਆ,Punjabi
чакаць,Belarusian
heshiin,Somali
blu,Albanian
segel,Swedish
죽은,Korean
sé,Irish
sunku,Lithuanian
pwynt,Welsh
atapita,Chichewa
mikir,Sundanese
radije,Bosnian
akanzwa,Shona
putovanje,Croatian
მხოლოდ,Georgian
z’ënnerschreiwen,Luxembourgish
maualuga,Samoan
surprise,English
nhanh,Vietnamese
საღამოს,Georgian
paiari,Corsican
fari-,Malagasy
tou,Afrikaans
gunst,Dutch
અનુસરો,Gujarati
sameind,Icelandic
agwa,Igbo
utamané,Javanese
അടിത്തറ,Malayalam
ಟಚ್,Kannada
విరిగింది,Telugu
igihingwa,Kinyarwanda
извик,Macedonian
ליבע,Yiddish
taga,Hausa
été,French
yarda,Hausa
希,Chinese
elämä,Finnish
әкелу,Kazakh
brenin,Welsh
minyak,Indonesian
өте,Kazakh
noodzakelijk,Dutch
старий,Ukrainian
гоне,Serbian
ស្ត្រី,Khmer
na,Malagasy
ရာသီဥတုက,Myanmar
γραμμή,Greek
gordura,Portuguese
სისტემაში,Georgian
قسمت,Pashto
nokļūt,Latvian
വളരും,Malayalam
hanapin,Filipino
צען,Yiddish
сары,Kyrgyz
алим,Mongolian
ол,Kazakh
second,English
קיין,Yiddish
auxilium,Latin
ਸੰਭਵ,Punjabi
אנדערע,Yiddish
noon,Norwegian
ня,Belarusian
zvinokosha,Shona
probleme,Romanian
मिस,Hindi
tunnag,Scots
Σαβ,Greek
seint,Icelandic
Land,Luxembourgish
umumiy,Uzbek
kalns,Latvian
ખૂબ,Gujarati
શાળા,Gujarati
പുതിയ,Malayalam
bảng,Vietnamese
դեղին,Armenian
допир,Macedonian
అనేక,Telugu
ਦੌਰੇ,Punjabi
oksijèn,Haitian
المعادن,Arabic
小さい,Japanese
ពាក់,Khmer
kujisikia,Swahili
argint,Romanian
sìol,Scots
директна,Macedonian
domat,Luxembourgish
escoltar,Catalan
ရောင်းချ,Myanmar
drwg,Welsh
гадзіны,Belarusian
bela,Slovenian
cabhrú,Irish
ліс,Ukrainian
વસ્તુ,Gujarati
desgast,Catalan
oyimbo,Yoruba
membandingkan,Indonesian
a,Sesotho
móðir,Icelandic
svaka,Croatian
dall,Luxembourgish
santèn,Haitian
qhubeka,Zulu
وار,Sindhi
शत्रु,Nepali
ჯერ,Georgian
spring,English
tlieta,Maltese
stad,Afrikaans
発見,Japanese
object,Dutch
olhar,Portuguese
jam,Malaysian
malbat,Kurdish
class,English
koira,Finnish
orin,Yoruba
uburiri,Kinyarwanda
aub,Hmong
haff,Luxembourgish
небото,Macedonian
відрізняються,Ukrainian
сутрин,Bulgarian
rembulan,Javanese
atgal,Lithuanian
ніколи,Ukrainian
رئيس,Arabic
food,English
Isibonelo,Zulu
ឈរ,Khmer
so,Yoruba
acquistare,Italian
bohatý,Czech
kerja,Malaysian
trăi,Romanian
sibuk,Javanese
ലേക്ക്,Malayalam
मोठा,Marathi
dier,Luxembourgish
fortid,Danish
kryt,Slovak
primavera,Galician
না,Bengali
sokongan,Malaysian
beam,Frisian
צוזאַמען,Yiddish
hetta,Swedish
глядзець,Belarusian
ned,Norwegian
シングル,Japanese
ჭამა,Georgian
usungula,Zulu
makila,Basque
ದಾಟಲು,Kannada
jseħħu,Maltese
బాక్స్,Telugu
cidade,Portuguese
kufa,Swahili
се,Macedonian
gepatro,Esperanto
Ntathu,Xhosa
nguo,Swahili
tlaase,Sesotho
znak,Croatian
အသံကျယ်သော,Myanmar
فن,Arabic
ua,Hmong
өөх,Mongolian
გააკეთა,Georgian
ਦਾ,Punjabi
հիշում,Armenian
түшөт,Kyrgyz
uluvo,Xhosa
لګښت,Pashto
erayga,Somali
middagstid,Swedish
платно,Cebuano
flokët,Albanian
ដែលជាកន្លែងដែល,Khmer
vë,Albanian
musica,Corsican
truck,Slovak
potpun,Croatian
chief,English
баруун,Mongolian
богино,Mongolian
ғасыр,Kazakh
ឧបករណ៍,Khmer
درب,Persian
masine,Frisian
бозии,Tajik
กษัตริย์,Thai
neeg,Hmong
přes,Czech
මාර්ගය,Sinhala
อ้าง,Thai
gruby,Polish
sheqer,Albanian
veri,Finnish
precej,Slovenian
ഇടുക,Malayalam
paj,Hmong
толькі,Belarusian
irin,Yoruba
amade,Kurdish
dissi,Corsican
اوس,Pashto
lîstik,Kurdish
stoung,Luxembourgish
פראי,Hebrew
mānoa,Samoan
a,Irish
טויט,Yiddish
cauri,Latvian
ប្រើ,Khmer
millóns,Galician
חשמלי,Hebrew
նման,Armenian
منشار,Arabic
капялюш,Belarusian
sal,Spanish
ചെലവഴിക്കുകയും,Malayalam
изречение,Bulgarian
umurwa,Kinyarwanda
beskaat,Frisian
रखा,Hindi
pocos,Spanish
तो,Marathi
mnogi,Croatian
carry,English
umama,Xhosa
پر,Urdu
seu,Portuguese
magnet,Czech
ചിന്ത,Malayalam
έτους,Greek
सभ्य,Marathi
дрво,Macedonian
mpanjaka,Malagasy
αποθηκεύσετε,Greek
זאַמד,Yiddish
лутфан,Tajik
尽,Chinese
table,French
batsho,Sesotho
英,Chinese
Kalmomin,Hausa
wasu,Hausa
tèt,Haitian
मोजण्यासाठी,Marathi
възможно,Bulgarian
ကြီးပြင်းလာ,Myanmar
text,Kurdish
bakım,Turkish
ngabogaan,Sundanese
pleje,Danish
planta,Spanish
istý,Slovak
igesi,Xhosa
ka,Bosnian
വീണ്ടും,Malayalam
grup,Turkish
servir,Galician
salire,Italian
паверх,Belarusian
ٹانگ,Urdu
elke,Dutch
Цялата,Bulgarian
যারা,Bengali
huis,Dutch
push,Malaysian
ting,Norwegian
ndhuwur,Javanese
lub,Hmong
қабырға,Kazakh
single,Javanese
senhorita,Portuguese
jablko,Slovak
ಶನಿ,Kannada
ambruk,Javanese
нізкі,Belarusian
linggo,Filipino
past,Uzbek
ပိုးကောင်,Myanmar
немає,Ukrainian
mad,Danish
hasil,Malaysian
eenvoudig,Dutch
unit,Javanese
gbogbo,Yoruba
longitud,Catalan
داد,Pashto
ראַש,Yiddish
fit,English
voida,Finnish
vlastní,Czech
Ihhovisi,Zulu
leeg,Filipino
la,Romanian
เป็น,Thai
ڍڳي,Sindhi
جادو,Urdu
įrašas,Lithuanian
ნომერი,Georgian
गोल,Marathi
singil,Irish
kdo,Czech
ha,Italian
ילדה,Hebrew
meddelande,Swedish
hunt,English
ಭೂಮಿಯ,Kannada
amiko,Esperanto
ಪತ್ರಿಕಾ,Kannada
بقیه,Persian
סירה,Hebrew
ఉష్ణోగ్రత,Telugu
perawatan,Indonesian
sibuk,Malaysian
מחצית,Hebrew
doit,French
Pogledaj,Bosnian
plin,Slovenian
ਚੈੱਕ,Punjabi
hitro,Slovenian
פּאָרט,Yiddish
be,Swedish
osmijeh,Croatian
क्रिया,Hindi
nac,Welsh
žena,Croatian
spela,Swedish
آغاز,Persian
חם,Hebrew
شريط,Arabic
Доколкото,Cebuano
արդար,Armenian
varētu,Latvian
Mensch,German
ivi,Samoan
maana,Swahili
capturados,Portuguese
com,Catalan
kopje,Albanian
parti,Albanian
push,Filipino
起,Chinese
વારંવાર,Gujarati
jawaban,Javanese
schwammen,Luxembourgish
watoto,Swahili
geri,Turkish
Schönheit,German
שווה,Hebrew
nokwenzeka,Xhosa
atu,Samoan
ಬೇರೆ,Kannada
കൊണ്ട്,Malayalam
radio,Hausa
ක්රියාත්මක,Sinhala
อธิบาย,Thai
काला,Hindi
זיכער,Yiddish
تمام,Sindhi
ਮਹਾਨ,Punjabi
کتاب,Urdu
tiba-tiba,Indonesian
major,Latin
grün,German
tako,Bosnian
sekund,Danish
reklamácie,Slovak
amant,Latin
nær,Danish
dráha,Slovak
verið,Icelandic
libsa,Maltese
butikk,Norwegian
дърво,Cebuano
クマ,Japanese
kivi,Finnish
ymweliad,Welsh
paramihin,Filipino
તાજા,Gujarati
shaxda,Somali
ਉਪਰੋਕਤ,Punjabi
növbəti,Azerbaijani
alle,Norwegian
leabhar,Scots
பாடல்,Tamil
veikals,Latvian
pakkumine,Estonian
nas,Scots
မထိုက်မတန်,Myanmar
tymheredd,Welsh
oanwêzich,Frisian
tyckas,Swedish
elektrické,Slovak
密,Chinese
ntu,Hmong
sladkorja,Slovenian
subiramo,Kinyarwanda
објекат,Serbian
qëndrim,Albanian
රාත්තල්,Sinhala
düşman,Turkish
u,Corsican
абр,Tajik
gruppe,Danish
што,Belarusian
koti,Finnish
trò,Vietnamese
も,Japanese
to’lov,Uzbek
қайық,Kazakh
gwongworo,Igbo
port,Bosnian
menciptakan,Indonesian
guerre,French
wodekha,Chichewa
आनंद,Marathi
tai,Lithuanian
एकमेव,Marathi
ແລ້ງ,Lao
naturaleza,Spanish
tonn,Scots
បញ្ឈប់,Khmer
ולא,Hebrew
ok,Hungarian
正確な,Japanese
cathaoir,Irish
cotxe,Catalan
वाक्यांश,Marathi
Мис,Macedonian
hasieran,Basque
tim,Albanian
chaque,French
शतक,Marathi
Sabti,Somali
región,Spanish
હંમેશા,Gujarati
родител,Bulgarian
директно,Macedonian
ka,Somali
inneholde,Norwegian
gətirdi,Azerbaijani
osoa,Basque
danja,Malagasy
vonat,Hungarian
sông,Vietnamese
bareng,Sesotho
ਦੀ,Punjabi
sevgili,Turkish
ea,Romanian
minder,Frisian
крал,Macedonian
större,Swedish
amategeko,Kinyarwanda
အမျိုးအစား,Myanmar
bar,Hausa
mitjà,Catalan
trong,Vietnamese
ruoka,Finnish
pisteet,Finnish
ឈ្មោះ,Khmer
pamwamba,Chichewa
montanha,Portuguese
түрі,Kazakh
ngazi,Swahili
buksēšana,Latvian
ojii,Igbo
ડૉક્ટર,Gujarati
him,English
muerte,Spanish
be,Malagasy
სხვა,Georgian
figi,Haitian
tamar,Somali
mi,Spanish
fortelle,Norwegian
sien,Afrikaans
बहुत,Hindi
galima,Lithuanian
nopeus,Finnish
succesul,Romanian
mendapatkan,Malaysian
verrassing,Dutch
riêng,Vietnamese
assunto,Portuguese
ezie,Igbo
desenvolver,Portuguese
mislim,Slovenian
דיפּלאָם,Yiddish
αιτία,Greek
viando,Esperanto
હાજર,Gujarati
Slóðin,Icelandic
ជំនាញ,Khmer
беше,Macedonian
děkuji,Czech
канат,Kyrgyz
jitgħallmu,Maltese
rehetra,Malagasy
কাজ,Bengali
ටිකක්,Sinhala
фигура,Bulgarian
ڀلي,Sindhi
upuan,Filipino
yakakwirira,Shona
masalah,Malaysian
testa,Corsican
нежан,Serbian
scála,Irish
tupu,Samoan
kòz,Haitian
narị,Igbo
სართული,Georgian
فالو,Urdu
kanzunetta,Maltese
աղջիկ,Armenian
لیڈی,Urdu
afli,Icelandic
